requisition_id,business_unit,location,skill_family,job_level,clearance_type,planned_start_month,priority
REQ-100079,Space,"Orlando, FL",Cybersecurity,1,Secret,2026-04,Critical
REQ-100080,Space,"Fort Worth, TX",Cybersecurity,3,Secret,2026-04,High
REQ-100081,Rotary & Mission Systems,"Orlando, FL",Mechanical Engineering,5,Secret,2026-04,Critical
REQ-100082,Rotary & Mission Systems,"Bethesda, MD",Supply Chain,3,Secret,2026-04,Critical
REQ-100083,Missiles & Fire Control,"Bethesda, MD",Electrical Engineering,6,None,2026-04,High
REQ-100084,Rotary & Mission Systems,Remote-Eligible,Manufacturing Operations,5,TS/SCI,2026-04,High
REQ-100085,Corporate Shared Services,"Grand Prairie, TX",Mechanical Engineering,5,Public Trust,2026-04,Standard
REQ-100086,Space,"Sunnyvale, CA",Mechanical Engineering,5,None,2026-04,High
REQ-100087,Space,"Grand Prairie, TX",Program / Project Management,6,Secret,2026-04,High
REQ-100088,Corporate Shared Services,"Orlando, FL",Program / Project Management,4,Secret,2026-04,Standard
REQ-100089,Space,"Fort Worth, TX",Systems Engineering,4,Secret,2026-04,High
REQ-100090,Space,"Bethesda, MD",HR / People Analytics,2,Top Secret,2026-04,Standard
REQ-100091,Corporate Shared Services,"Bethesda, MD",Systems Engineering,6,None,2026-04,Critical
REQ-100092,Corporate Shared Services,"Sunnyvale, CA",Electrical Engineering,5,Top Secret,2026-04,Standard
REQ-100093,Missiles & Fire Control,"Grand Prairie, TX",Cybersecurity,1,Secret,2026-04,Critical
REQ-100094,Corporate Shared Services,"Orlando, FL",Systems Engineering,1,None,2026-04,High
REQ-100095,Aeronautics,"Huntsville, AL",Business Development,4,Secret,2026-04,Standard
REQ-100096,Corporate Shared Services,"Sunnyvale, CA",Electrical Engineering,5,Top Secret,2026-04,Critical
REQ-100097,Aeronautics,"Bethesda, MD",Systems Engineering,6,Secret,2026-04,Standard
REQ-100098,Missiles & Fire Control,"Orlando, FL",Program / Project Management,2,Secret,2026-04,High
REQ-100099,Space,"Huntsville, AL",Program / Project Management,2,Secret,2026-04,Standard
REQ-100100,Missiles & Fire Control,"Huntsville, AL",Cybersecurity,6,Top Secret,2026-04,High
REQ-100101,Missiles & Fire Control,"Fort Worth, TX",HR / People Analytics,6,Secret,2026-04,High
REQ-100102,Corporate Shared Services,"Sunnyvale, CA",Finance & Accounting,2,Secret,2026-04,High
REQ-100103,Corporate Shared Services,"Grand Prairie, TX",Systems Engineering,6,Secret,2026-04,Standard
REQ-100104,Missiles & Fire Control,"Huntsville, AL",Program / Project Management,2,Secret,2026-04,High
REQ-100105,Missiles & Fire Control,Remote-Eligible,Systems Engineering,6,None,2026-04,Standard
REQ-100106,Corporate Shared Services,"Fort Worth, TX",Systems Engineering,6,Secret,2026-04,Standard
REQ-100107,Space,"Fort Worth, TX",Program / Project Management,4,Secret,2026-04,High
REQ-100108,Missiles & Fire Control,"Fort Worth, TX",Finance & Accounting,2,None,2026-04,Standard
REQ-100109,Aeronautics,"Orlando, FL",Mechanical Engineering,4,None,2026-04,Standard
REQ-100110,Aeronautics,"Huntsville, AL",Systems Engineering,6,Secret,2026-04,Standard
REQ-100111,Aeronautics,"Grand Prairie, TX",Systems Engineering,6,Secret,2026-04,High
REQ-100112,Rotary & Mission Systems,"Sunnyvale, CA",Data Science & Analytics,1,Top Secret,2026-04,High
REQ-100113,Corporate Shared Services,"Grand Prairie, TX",Electrical Engineering,6,Secret,2026-04,High
REQ-100114,Missiles & Fire Control,"Huntsville, AL",Supply Chain,6,Secret,2026-04,High
REQ-100115,Rotary & Mission Systems,"Orlando, FL",Supply Chain,6,Secret,2026-05,Critical
REQ-100116,Rotary & Mission Systems,"Bethesda, MD",Electrical Engineering,5,Secret,2026-05,Critical
REQ-100117,Aeronautics,"Denver, CO",Business Development,5,Public Trust,2026-05,High
REQ-100118,Space,"Orlando, FL",Program / Project Management,1,Secret,2026-05,Standard
REQ-100119,Corporate Shared Services,"Sunnyvale, CA",Data Science & Analytics,4,Secret,2026-05,Critical
REQ-100120,Space,"Denver, CO",Software Engineering,2,Public Trust,2026-05,Standard
REQ-100121,Corporate Shared Services,"Sunnyvale, CA",Supply Chain,5,Secret,2026-05,Standard
REQ-100122,Aeronautics,"Orlando, FL",Program / Project Management,3,Secret,2026-05,High
REQ-100123,Missiles & Fire Control,Remote-Eligible,Systems Engineering,3,Secret,2026-05,Standard
REQ-100124,Rotary & Mission Systems,"Grand Prairie, TX",Systems Engineering,1,Public Trust,2026-05,Standard
REQ-100125,Missiles & Fire Control,"Orlando, FL",Cybersecurity,4,Top Secret,2026-05,Critical
REQ-100126,Rotary & Mission Systems,"Grand Prairie, TX",Systems Engineering,2,Secret,2026-05,High
REQ-100127,Missiles & Fire Control,Remote-Eligible,Data Science & Analytics,2,Secret,2026-05,Standard
REQ-100128,Aeronautics,"Fort Worth, TX",Program / Project Management,3,Public Trust,2026-05,Standard
REQ-100129,Space,"Grand Prairie, TX",Cybersecurity,3,TS/SCI,2026-05,Standard
REQ-100130,Rotary & Mission Systems,"Orlando, FL",Systems Engineering,3,Top Secret,2026-05,Critical
REQ-100131,Space,"Bethesda, MD",Software Engineering,6,None,2026-05,Standard
REQ-100132,Space,"Bethesda, MD",Mechanical Engineering,1,Top Secret,2026-05,Standard
REQ-100133,Corporate Shared Services,"Bethesda, MD",Systems Engineering,2,Secret,2026-05,Standard
REQ-100134,Corporate Shared Services,"Bethesda, MD",Software Engineering,2,None,2026-05,Standard
REQ-100135,Rotary & Mission Systems,"Orlando, FL",Systems Engineering,2,Top Secret,2026-05,High
REQ-100136,Corporate Shared Services,"Denver, CO",Systems Engineering,4,Top Secret,2026-05,High
REQ-100137,Missiles & Fire Control,"Huntsville, AL",Electrical Engineering,6,Secret,2026-05,Critical
REQ-100138,Missiles & Fire Control,"Orlando, FL",Data Science & Analytics,6,Secret,2026-05,High
REQ-100139,Corporate Shared Services,"Grand Prairie, TX",Systems Engineering,5,None,2026-05,Standard
REQ-100140,Aeronautics,"Bethesda, MD",Finance & Accounting,4,None,2026-05,Standard
REQ-100141,Corporate Shared Services,"Sunnyvale, CA",Manufacturing Operations,5,Secret,2026-05,High
REQ-100142,Space,"Orlando, FL",Mechanical Engineering,6,Secret,2026-05,High
REQ-100143,Missiles & Fire Control,"Grand Prairie, TX",Program / Project Management,1,Top Secret,2026-05,Standard
REQ-100144,Space,"Fort Worth, TX",Manufacturing Operations,1,Secret,2026-05,Standard
REQ-100145,Corporate Shared Services,"Huntsville, AL",Systems Engineering,2,Secret,2026-05,Standard
REQ-100146,Aeronautics,"Bethesda, MD",Program / Project Management,3,Secret,2026-05,Standard
REQ-100147,Aeronautics,"Grand Prairie, TX",Mechanical Engineering,3,None,2026-05,Standard
REQ-100148,Space,"Bethesda, MD",Software Engineering,3,Top Secret,2026-05,Critical
REQ-100149,Aeronautics,"Bethesda, MD",Software Engineering,6,Secret,2026-05,Standard
REQ-100150,Rotary & Mission Systems,"Grand Prairie, TX",Program / Project Management,6,Secret,2026-05,Standard
REQ-100151,Corporate Shared Services,"Bethesda, MD",Systems Engineering,2,None,2026-05,Standard
REQ-100152,Rotary & Mission Systems,"Bethesda, MD",Manufacturing Operations,6,TS/SCI,2026-05,High
REQ-100153,Rotary & Mission Systems,Remote-Eligible,Program / Project Management,6,Public Trust,2026-05,High
REQ-100154,Missiles & Fire Control,"Grand Prairie, TX",Supply Chain,3,Secret,2026-05,Standard
REQ-100155,Aeronautics,"Huntsville, AL",Mechanical Engineering,2,Public Trust,2026-05,High
REQ-100156,Space,"Sunnyvale, CA",Finance & Accounting,3,Secret,2026-05,Standard
REQ-100157,Missiles & Fire Control,"Grand Prairie, TX",Software Engineering,6,None,2026-05,High
REQ-100158,Missiles & Fire Control,"Fort Worth, TX",Electrical Engineering,4,None,2026-05,Critical
REQ-100159,Corporate Shared Services,"Fort Worth, TX",Cybersecurity,2,Top Secret,2026-05,Standard
REQ-100160,Aeronautics,"Denver, CO",Mechanical Engineering,1,TS/SCI,2026-05,Standard
REQ-100161,Space,"Fort Worth, TX",Mechanical Engineering,4,Secret,2026-05,Standard
REQ-100162,Corporate Shared Services,"Grand Prairie, TX",Electrical Engineering,1,None,2026-05,Critical
REQ-100163,Rotary & Mission Systems,Remote-Eligible,Software Engineering,4,Secret,2026-05,Critical
REQ-100164,Aeronautics,"Sunnyvale, CA",Mechanical Engineering,6,None,2026-05,High
REQ-100165,Corporate Shared Services,"Orlando, FL",Program / Project Management,6,None,2026-05,Standard
REQ-100166,Corporate Shared Services,Remote-Eligible,Software Engineering,5,Top Secret,2026-05,High
REQ-100167,Space,"Denver, CO",Software Engineering,1,Public Trust,2026-05,Critical
REQ-100168,Missiles & Fire Control,"Grand Prairie, TX",Manufacturing Operations,2,Secret,2026-05,Standard
REQ-100169,Missiles & Fire Control,"Denver, CO",Systems Engineering,5,Top Secret,2026-05,High
REQ-100170,Space,Remote-Eligible,Systems Engineering,4,Secret,2026-05,Standard
REQ-100171,Rotary & Mission Systems,"Fort Worth, TX",Systems Engineering,5,Public Trust,2026-05,Critical
REQ-100172,Space,Remote-Eligible,HR / People Analytics,1,Public Trust,2026-05,Standard
REQ-100173,Corporate Shared Services,"Sunnyvale, CA",Electrical Engineering,6,None,2026-05,Standard
REQ-100174,Aeronautics,"Grand Prairie, TX",HR / People Analytics,3,Secret,2026-05,Standard
REQ-100175,Missiles & Fire Control,"Denver, CO",Manufacturing Operations,5,Top Secret,2026-05,Standard
REQ-100176,Missiles & Fire Control,Remote-Eligible,Supply Chain,4,Top Secret,2026-05,High
REQ-100177,Corporate Shared Services,"Fort Worth, TX",Software Engineering,5,Secret,2026-05,High
REQ-100178,Space,"Denver, CO",Software Engineering,5,Top Secret,2026-05,Standard
REQ-100179,Space,"Sunnyvale, CA",Supply Chain,6,Top Secret,2026-05,Standard
REQ-100180,Corporate Shared Services,"Bethesda, MD",Program / Project Management,4,Top Secret,2026-05,Critical
REQ-100181,Space,"Grand Prairie, TX",Program / Project Management,1,Top Secret,2026-05,High
REQ-100182,Aeronautics,"Bethesda, MD",Mechanical Engineering,1,Secret,2026-05,Standard
REQ-100183,Missiles & Fire Control,Remote-Eligible,Systems Engineering,6,Secret,2026-05,High
REQ-100184,Corporate Shared Services,"Fort Worth, TX",Data Science & Analytics,6,Secret,2026-05,Standard
REQ-100185,Rotary & Mission Systems,"Sunnyvale, CA",Finance & Accounting,3,Secret,2026-05,High
REQ-100186,Missiles & Fire Control,"Huntsville, AL",Manufacturing Operations,5,TS/SCI,2026-05,Standard
REQ-100187,Aeronautics,"Grand Prairie, TX",Cybersecurity,1,None,2026-05,Standard
REQ-100188,Space,"Grand Prairie, TX",Mechanical Engineering,2,Public Trust,2026-05,High
REQ-100189,Aeronautics,"Orlando, FL",Electrical Engineering,1,TS/SCI,2026-05,High
REQ-100190,Aeronautics,"Fort Worth, TX",Mechanical Engineering,2,None,2026-05,High
REQ-100191,Aeronautics,"Fort Worth, TX",Cybersecurity,6,None,2026-05,High
REQ-100192,Missiles & Fire Control,"Grand Prairie, TX",Mechanical Engineering,6,Secret,2026-05,Standard
REQ-100193,Rotary & Mission Systems,"Huntsville, AL",Mechanical Engineering,2,Public Trust,2026-05,Standard
REQ-100194,Corporate Shared Services,"Fort Worth, TX",Data Science & Analytics,1,None,2026-05,Standard
REQ-100195,Missiles & Fire Control,"Huntsville, AL",Software Engineering,6,Secret,2026-05,Critical
REQ-100196,Rotary & Mission Systems,"Sunnyvale, CA",Electrical Engineering,5,Public Trust,2026-05,Standard
REQ-100197,Missiles & Fire Control,"Bethesda, MD",Manufacturing Operations,6,None,2026-05,High
REQ-100198,Space,"Sunnyvale, CA",Software Engineering,6,Secret,2026-05,High
REQ-100199,Space,"Grand Prairie, TX",Electrical Engineering,2,Top Secret,2026-05,Standard
REQ-100200,Aeronautics,Remote-Eligible,Cybersecurity,4,TS/SCI,2026-05,Standard
REQ-100201,Aeronautics,"Huntsville, AL",Mechanical Engineering,2,Secret,2026-05,Critical
REQ-100202,Aeronautics,"Bethesda, MD",Electrical Engineering,6,None,2026-05,Standard
REQ-100203,Aeronautics,"Huntsville, AL",Systems Engineering,6,Secret,2026-05,Standard
REQ-100204,Aeronautics,"Huntsville, AL",Systems Engineering,1,Secret,2026-05,High
REQ-100205,Space,"Fort Worth, TX",Mechanical Engineering,2,Public Trust,2026-05,Standard
REQ-100206,Space,Remote-Eligible,Program / Project Management,4,None,2026-05,Standard
REQ-100207,Corporate Shared Services,"Bethesda, MD",Systems Engineering,5,Secret,2026-05,Standard
REQ-100208,Corporate Shared Services,"Huntsville, AL",Data Science & Analytics,2,None,2026-05,High
REQ-100209,Space,"Bethesda, MD",Systems Engineering,4,None,2026-05,Standard
REQ-100210,Space,Remote-Eligible,Systems Engineering,4,TS/SCI,2026-05,High
REQ-100211,Rotary & Mission Systems,"Huntsville, AL",Cybersecurity,6,TS/SCI,2026-05,High
REQ-100212,Missiles & Fire Control,"Fort Worth, TX",Data Science & Analytics,6,None,2026-05,High
REQ-100213,Rotary & Mission Systems,"Fort Worth, TX",Software Engineering,6,Secret,2026-05,Critical
REQ-100214,Rotary & Mission Systems,"Huntsville, AL",Cybersecurity,1,Secret,2026-05,Standard
REQ-100215,Corporate Shared Services,"Huntsville, AL",Program / Project Management,6,Public Trust,2026-05,Standard
REQ-100216,Missiles & Fire Control,"Orlando, FL",Systems Engineering,5,Secret,2026-05,High
REQ-100217,Missiles & Fire Control,"Orlando, FL",Manufacturing Operations,5,Top Secret,2026-05,Standard
REQ-100218,Space,"Denver, CO",Systems Engineering,4,Top Secret,2026-05,Standard
REQ-100219,Missiles & Fire Control,"Denver, CO",Program / Project Management,1,Secret,2026-05,Standard
REQ-100220,Rotary & Mission Systems,"Denver, CO",Manufacturing Operations,3,Secret,2026-05,High
REQ-100221,Space,"Denver, CO",Program / Project Management,5,None,2026-05,Standard
REQ-100222,Corporate Shared Services,Remote-Eligible,Finance & Accounting,1,Secret,2026-05,High
REQ-100223,Corporate Shared Services,"Huntsville, AL",Program / Project Management,4,Public Trust,2026-05,Standard
REQ-100224,Rotary & Mission Systems,"Grand Prairie, TX",Supply Chain,2,Secret,2026-05,Critical
REQ-100225,Space,"Grand Prairie, TX",Systems Engineering,4,None,2026-05,High
REQ-100226,Missiles & Fire Control,"Denver, CO",Business Development,5,Secret,2026-05,High
REQ-100227,Space,"Sunnyvale, CA",Supply Chain,1,None,2026-05,Standard
REQ-100228,Corporate Shared Services,"Bethesda, MD",Software Engineering,1,Public Trust,2026-05,Standard
REQ-100229,Corporate Shared Services,"Fort Worth, TX",Mechanical Engineering,4,None,2026-06,Standard
REQ-100230,Aeronautics,"Fort Worth, TX",Business Development,4,TS/SCI,2026-06,Standard
REQ-100231,Aeronautics,"Huntsville, AL",Software Engineering,1,None,2026-06,Standard
REQ-100232,Rotary & Mission Systems,"Huntsville, AL",Data Science & Analytics,1,None,2026-06,Standard
REQ-100233,Aeronautics,"Fort Worth, TX",Supply Chain,6,Secret,2026-06,High
REQ-100234,Corporate Shared Services,"Bethesda, MD",Supply Chain,1,Secret,2026-06,High
REQ-100235,Missiles & Fire Control,"Fort Worth, TX",Systems Engineering,5,Secret,2026-06,Standard
REQ-100236,Missiles & Fire Control,"Orlando, FL",Program / Project Management,2,TS/SCI,2026-06,Standard
REQ-100237,Aeronautics,"Denver, CO",Electrical Engineering,3,None,2026-06,Standard
REQ-100238,Aeronautics,"Sunnyvale, CA",Electrical Engineering,5,Secret,2026-06,High
REQ-100239,Aeronautics,"Denver, CO",Data Science & Analytics,1,Secret,2026-06,High
REQ-100240,Space,"Fort Worth, TX",Systems Engineering,5,Secret,2026-06,Standard
REQ-100241,Rotary & Mission Systems,"Bethesda, MD",Program / Project Management,4,Public Trust,2026-06,Standard
REQ-100242,Corporate Shared Services,"Bethesda, MD",Mechanical Engineering,4,None,2026-06,Critical
REQ-100243,Corporate Shared Services,"Bethesda, MD",Software Engineering,4,None,2026-06,High
REQ-100244,Corporate Shared Services,"Bethesda, MD",Electrical Engineering,2,Secret,2026-06,High
REQ-100245,Rotary & Mission Systems,"Grand Prairie, TX",Software Engineering,1,Secret,2026-06,High
REQ-100246,Corporate Shared Services,"Sunnyvale, CA",Cybersecurity,4,Top Secret,2026-06,Standard
REQ-100247,Missiles & Fire Control,"Orlando, FL",Software Engineering,2,None,2026-06,Standard
REQ-100248,Aeronautics,Remote-Eligible,Manufacturing Operations,4,Secret,2026-06,High
REQ-100249,Missiles & Fire Control,"Huntsville, AL",Systems Engineering,2,Top Secret,2026-06,Standard
REQ-100250,Aeronautics,"Grand Prairie, TX",Systems Engineering,4,Secret,2026-06,Standard
REQ-100251,Corporate Shared Services,Remote-Eligible,Software Engineering,6,Secret,2026-06,High
REQ-100252,Space,"Orlando, FL",Mechanical Engineering,3,None,2026-06,Standard
REQ-100253,Space,Remote-Eligible,Systems Engineering,3,None,2026-06,High
REQ-100254,Corporate Shared Services,"Sunnyvale, CA",Electrical Engineering,1,Top Secret,2026-06,Standard
REQ-100255,Space,"Fort Worth, TX",Data Science & Analytics,3,Top Secret,2026-06,Standard
REQ-100256,Missiles & Fire Control,"Orlando, FL",Mechanical Engineering,4,Secret,2026-06,Standard
REQ-100257,Aeronautics,"Bethesda, MD",Finance & Accounting,1,Public Trust,2026-06,High
REQ-100258,Missiles & Fire Control,"Denver, CO",Program / Project Management,2,TS/SCI,2026-06,Critical
REQ-100259,Space,"Grand Prairie, TX",Mechanical Engineering,6,Secret,2026-06,Standard
REQ-100260,Rotary & Mission Systems,"Bethesda, MD",Manufacturing Operations,6,Public Trust,2026-06,Standard
REQ-100261,Aeronautics,"Bethesda, MD",Software Engineering,6,Top Secret,2026-06,High
REQ-100262,Corporate Shared Services,"Sunnyvale, CA",Systems Engineering,5,Public Trust,2026-06,Critical
REQ-100263,Rotary & Mission Systems,Remote-Eligible,Finance & Accounting,4,None,2026-06,High
REQ-100264,Corporate Shared Services,"Sunnyvale, CA",Systems Engineering,1,Secret,2026-06,Standard
REQ-100265,Space,"Denver, CO",Systems Engineering,1,Secret,2026-06,Standard
REQ-100266,Rotary & Mission Systems,Remote-Eligible,Software Engineering,6,Top Secret,2026-06,High
REQ-100267,Corporate Shared Services,Remote-Eligible,Software Engineering,5,Top Secret,2026-06,High
REQ-100268,Missiles & Fire Control,"Huntsville, AL",Software Engineering,2,Secret,2026-06,Critical
REQ-100269,Space,"Bethesda, MD",Supply Chain,6,None,2026-06,High
REQ-100270,Rotary & Mission Systems,Remote-Eligible,Electrical Engineering,4,TS/SCI,2026-06,High
REQ-100271,Aeronautics,"Bethesda, MD",Finance & Accounting,4,Secret,2026-06,Standard
REQ-100272,Rotary & Mission Systems,"Sunnyvale, CA",Cybersecurity,4,TS/SCI,2026-06,High
REQ-100273,Aeronautics,"Bethesda, MD",Supply Chain,5,Secret,2026-06,High
REQ-100274,Space,Remote-Eligible,Data Science & Analytics,3,None,2026-06,High
REQ-100275,Corporate Shared Services,Remote-Eligible,Systems Engineering,1,None,2026-06,Standard
REQ-100276,Rotary & Mission Systems,"Denver, CO",Program / Project Management,1,TS/SCI,2026-06,Critical
REQ-100277,Space,"Fort Worth, TX",Mechanical Engineering,1,Public Trust,2026-06,Standard
REQ-100278,Space,Remote-Eligible,Finance & Accounting,3,TS/SCI,2026-06,Standard
REQ-100279,Space,"Sunnyvale, CA",Mechanical Engineering,2,None,2026-06,High
REQ-100280,Aeronautics,"Fort Worth, TX",Software Engineering,1,Public Trust,2026-06,High
REQ-100281,Space,"Bethesda, MD",Software Engineering,1,Secret,2026-06,Standard
REQ-100282,Aeronautics,"Grand Prairie, TX",Software Engineering,1,Secret,2026-06,Standard
REQ-100283,Rotary & Mission Systems,"Orlando, FL",Electrical Engineering,2,None,2026-06,Standard
REQ-100284,Space,"Sunnyvale, CA",Program / Project Management,2,Secret,2026-06,High
REQ-100285,Missiles & Fire Control,"Fort Worth, TX",Supply Chain,3,Secret,2026-06,High
REQ-100286,Aeronautics,"Grand Prairie, TX",Electrical Engineering,1,None,2026-06,Standard
