hire_month,business_unit,location,skill_family,clearance_type,days_to_fill
2024-04,Rotary & Mission Systems,"Orlando, FL",Mechanical Engineering,None,82
2024-04,Rotary & Mission Systems,"Grand Prairie, TX",Program / Project Management,Secret,74
2024-04,Rotary & Mission Systems,"Denver, CO",Electrical Engineering,Secret,82
2024-04,Corporate Shared Services,"Bethesda, MD",Cybersecurity,None,78
2024-04,Missiles & Fire Control,"Huntsville, AL",Manufacturing Operations,Top Secret,82
2024-04,Corporate Shared Services,"Fort Worth, TX",Software Engineering,None,42
2024-04,Missiles & Fire Control,"Orlando, FL",Software Engineering,Top Secret,82
2024-04,Rotary & Mission Systems,"Grand Prairie, TX",Software Engineering,None,48
2024-04,Rotary & Mission Systems,"Grand Prairie, TX",Program / Project Management,Top Secret,111
2024-04,Corporate Shared Services,Remote-Eligible,Data Science & Analytics,Top Secret,112
2024-04,Rotary & Mission Systems,"Huntsville, AL",Software Engineering,TS/SCI,129
2024-04,Missiles & Fire Control,"Grand Prairie, TX",Mechanical Engineering,Top Secret,85
2024-04,Aeronautics,Remote-Eligible,Software Engineering,Top Secret,72
2024-04,Missiles & Fire Control,"Sunnyvale, CA",Program / Project Management,Secret,81
2024-04,Corporate Shared Services,"Denver, CO",Data Science & Analytics,Top Secret,98
2024-04,Aeronautics,"Sunnyvale, CA",Cybersecurity,None,66
2024-04,Corporate Shared Services,"Orlando, FL",Systems Engineering,Secret,90
2024-04,Rotary & Mission Systems,Remote-Eligible,Electrical Engineering,Secret,82
2024-04,Aeronautics,"Fort Worth, TX",Cybersecurity,Top Secret,115
2024-04,Missiles & Fire Control,"Orlando, FL",Software Engineering,Secret,84
2024-04,Rotary & Mission Systems,"Orlando, FL",Software Engineering,Secret,88
2024-04,Missiles & Fire Control,"Grand Prairie, TX",Finance & Accounting,Secret,71
2024-04,Aeronautics,"Orlando, FL",Supply Chain,Public Trust,66
2024-04,Space,"Fort Worth, TX",Program / Project Management,None,62
2024-04,Space,"Bethesda, MD",Systems Engineering,Secret,92
2024-04,Aeronautics,Remote-Eligible,Finance & Accounting,Secret,75
2024-04,Missiles & Fire Control,"Fort Worth, TX",Program / Project Management,None,67
2024-05,Rotary & Mission Systems,"Fort Worth, TX",Software Engineering,Secret,73
2024-05,Corporate Shared Services,"Bethesda, MD",Software Engineering,Public Trust,62
2024-05,Space,"Grand Prairie, TX",Electrical Engineering,None,53
2024-05,Corporate Shared Services,"Bethesda, MD",Manufacturing Operations,None,71
2024-05,Rotary & Mission Systems,"Denver, CO",Systems Engineering,Top Secret,125
2024-05,Missiles & Fire Control,Remote-Eligible,Manufacturing Operations,Secret,74
2024-05,Space,"Grand Prairie, TX",Software Engineering,TS/SCI,120
2024-05,Aeronautics,Remote-Eligible,Manufacturing Operations,Secret,85
2024-05,Missiles & Fire Control,"Huntsville, AL",HR / People Analytics,TS/SCI,122
2024-05,Space,"Grand Prairie, TX",Program / Project Management,Secret,94
2024-05,Space,"Sunnyvale, CA",Program / Project Management,Top Secret,73
2024-05,Aeronautics,"Denver, CO",Manufacturing Operations,None,48
2024-05,Rotary & Mission Systems,"Huntsville, AL",Software Engineering,Secret,70
2024-05,Missiles & Fire Control,"Bethesda, MD",Systems Engineering,Top Secret,72
2024-05,Rotary & Mission Systems,"Huntsville, AL",Software Engineering,Top Secret,91
2024-05,Corporate Shared Services,"Grand Prairie, TX",Mechanical Engineering,Top Secret,92
2024-05,Aeronautics,"Denver, CO",Program / Project Management,None,57
2024-05,Corporate Shared Services,"Sunnyvale, CA",Electrical Engineering,Secret,96
2024-05,Rotary & Mission Systems,Remote-Eligible,Manufacturing Operations,None,56
2024-05,Space,"Grand Prairie, TX",Software Engineering,None,45
2024-05,Rotary & Mission Systems,"Denver, CO",Program / Project Management,Secret,80
2024-05,Missiles & Fire Control,"Fort Worth, TX",Systems Engineering,Secret,95
2024-05,Space,"Huntsville, AL",Systems Engineering,Top Secret,91
2024-05,Space,"Sunnyvale, CA",Program / Project Management,Top Secret,92
2024-05,Aeronautics,"Grand Prairie, TX",Business Development,Secret,88
2024-05,Space,"Denver, CO",Electrical Engineering,Top Secret,101
2024-05,Space,"Sunnyvale, CA",Software Engineering,None,69
2024-05,Missiles & Fire Control,"Huntsville, AL",Electrical Engineering,None,59
2024-05,Corporate Shared Services,"Denver, CO",Software Engineering,Secret,90
2024-05,Space,"Denver, CO",Supply Chain,Top Secret,90
2024-05,Missiles & Fire Control,"Fort Worth, TX",Program / Project Management,None,59
2024-05,Aeronautics,"Fort Worth, TX",Software Engineering,Secret,78
2024-05,Space,"Sunnyvale, CA",Software Engineering,Secret,63
2024-05,Missiles & Fire Control,Remote-Eligible,Systems Engineering,None,38
2024-05,Space,Remote-Eligible,Business Development,Secret,90
2024-05,Rotary & Mission Systems,"Bethesda, MD",Data Science & Analytics,Top Secret,100
2024-05,Rotary & Mission Systems,"Bethesda, MD",Program / Project Management,Secret,66
2024-05,Aeronautics,"Sunnyvale, CA",Electrical Engineering,None,58
2024-05,Space,"Orlando, FL",Mechanical Engineering,Top Secret,120
2024-05,Aeronautics,"Fort Worth, TX",Software Engineering,Public Trust,37
2024-05,Rotary & Mission Systems,"Grand Prairie, TX",Finance & Accounting,Top Secret,84
2024-05,Corporate Shared Services,"Grand Prairie, TX",Systems Engineering,Public Trust,56
2024-05,Corporate Shared Services,"Orlando, FL",Mechanical Engineering,Secret,101
2024-05,Corporate Shared Services,"Grand Prairie, TX",Program / Project Management,Secret,84
2024-05,Corporate Shared Services,"Fort Worth, TX",Electrical Engineering,Public Trust,79
2024-05,Rotary & Mission Systems,"Denver, CO",Finance & Accounting,Top Secret,89
2024-05,Missiles & Fire Control,Remote-Eligible,Software Engineering,None,44
2024-05,Corporate Shared Services,"Bethesda, MD",Mechanical Engineering,None,66
2024-05,Corporate Shared Services,"Sunnyvale, CA",Cybersecurity,Public Trust,69
2024-05,Corporate Shared Services,"Sunnyvale, CA",Mechanical Engineering,Secret,88
2024-05,Space,"Grand Prairie, TX",Software Engineering,Top Secret,102
2024-05,Aeronautics,"Orlando, FL",Software Engineering,TS/SCI,129
2024-05,Rotary & Mission Systems,"Denver, CO",Systems Engineering,Public Trust,71
2024-05,Rotary & Mission Systems,"Denver, CO",Systems Engineering,Secret,91
2024-05,Corporate Shared Services,"Fort Worth, TX",Data Science & Analytics,None,71
2024-05,Missiles & Fire Control,"Sunnyvale, CA",Electrical Engineering,Secret,58
2024-05,Missiles & Fire Control,"Grand Prairie, TX",Electrical Engineering,TS/SCI,94
2024-05,Aeronautics,"Orlando, FL",Cybersecurity,Secret,95
2024-05,Corporate Shared Services,"Bethesda, MD",Cybersecurity,Secret,97
2024-05,Space,"Denver, CO",Systems Engineering,Secret,66
2024-05,Aeronautics,"Bethesda, MD",Mechanical Engineering,Top Secret,78
2024-05,Rotary & Mission Systems,"Bethesda, MD",Systems Engineering,Secret,82
2024-05,Rotary & Mission Systems,Remote-Eligible,Software Engineering,None,73
2024-05,Rotary & Mission Systems,"Huntsville, AL",Cybersecurity,Secret,106
2024-05,Corporate Shared Services,"Denver, CO",Mechanical Engineering,None,67
2024-05,Aeronautics,Remote-Eligible,Systems Engineering,None,54
2024-05,Missiles & Fire Control,"Sunnyvale, CA",Mechanical Engineering,None,47
2024-05,Aeronautics,Remote-Eligible,Mechanical Engineering,Secret,81
2024-05,Missiles & Fire Control,"Huntsville, AL",Program / Project Management,Secret,76
2024-05,Corporate Shared Services,"Bethesda, MD",Electrical Engineering,Public Trust,54
2024-05,Corporate Shared Services,Remote-Eligible,Electrical Engineering,Secret,109
2024-05,Aeronautics,"Denver, CO",Systems Engineering,TS/SCI,150
2024-05,Space,"Bethesda, MD",Program / Project Management,Top Secret,120
2024-05,Missiles & Fire Control,"Grand Prairie, TX",Mechanical Engineering,Secret,68
2024-05,Aeronautics,Remote-Eligible,Data Science & Analytics,Public Trust,80
2024-05,Missiles & Fire Control,"Denver, CO",Electrical Engineering,Top Secret,113
2024-05,Aeronautics,"Huntsville, AL",Cybersecurity,None,66
2024-05,Rotary & Mission Systems,"Sunnyvale, CA",Mechanical Engineering,Public Trust,86
2024-05,Corporate Shared Services,"Huntsville, AL",Program / Project Management,Top Secret,113
2024-05,Rotary & Mission Systems,"Fort Worth, TX",Supply Chain,Secret,91
2024-05,Space,"Fort Worth, TX",HR / People Analytics,Secret,89
2024-05,Rotary & Mission Systems,"Denver, CO",Mechanical Engineering,Secret,85
2024-05,Aeronautics,"Bethesda, MD",Mechanical Engineering,Secret,56
2024-05,Aeronautics,"Huntsville, AL",Manufacturing Operations,Public Trust,70
2024-05,Missiles & Fire Control,"Sunnyvale, CA",Systems Engineering,None,52
2024-05,Missiles & Fire Control,"Bethesda, MD",Manufacturing Operations,Public Trust,51
2024-05,Corporate Shared Services,"Denver, CO",Mechanical Engineering,None,83
2024-05,Corporate Shared Services,Remote-Eligible,Software Engineering,Top Secret,129
2024-05,Corporate Shared Services,"Bethesda, MD",Software Engineering,Public Trust,88
2024-05,Space,"Sunnyvale, CA",Manufacturing Operations,Secret,84
2024-05,Rotary & Mission Systems,Remote-Eligible,Software Engineering,Top Secret,123
2024-05,Space,"Fort Worth, TX",Systems Engineering,Top Secret,105
2024-05,Rotary & Mission Systems,Remote-Eligible,Systems Engineering,Secret,83
2024-05,Space,"Orlando, FL",Software Engineering,Secret,65
2024-05,Space,"Grand Prairie, TX",Systems Engineering,TS/SCI,131
2024-05,Space,"Huntsville, AL",Program / Project Management,Secret,81
2024-05,Space,"Bethesda, MD",Software Engineering,Top Secret,86
2024-06,Aeronautics,"Grand Prairie, TX",Software Engineering,Public Trust,66
2024-06,Missiles & Fire Control,"Sunnyvale, CA",Business Development,Secret,65
2024-06,Missiles & Fire Control,"Sunnyvale, CA",Mechanical Engineering,Secret,77
2024-06,Space,"Denver, CO",Software Engineering,Secret,58
2024-06,Missiles & Fire Control,"Sunnyvale, CA",Supply Chain,Secret,68
2024-06,Corporate Shared Services,"Denver, CO",Supply Chain,Secret,84
2024-06,Space,"Huntsville, AL",Mechanical Engineering,TS/SCI,144
2024-06,Corporate Shared Services,"Sunnyvale, CA",Electrical Engineering,Public Trust,108
2024-06,Aeronautics,"Grand Prairie, TX",Systems Engineering,None,51
2024-06,Corporate Shared Services,"Orlando, FL",Software Engineering,Secret,101
2024-06,Space,"Grand Prairie, TX",Electrical Engineering,Top Secret,108
2024-06,Corporate Shared Services,"Orlando, FL",Systems Engineering,None,57
2024-06,Missiles & Fire Control,"Orlando, FL",Electrical Engineering,Secret,87
2024-06,Corporate Shared Services,Remote-Eligible,Manufacturing Operations,Top Secret,105
2024-06,Rotary & Mission Systems,"Fort Worth, TX",Software Engineering,Secret,82
2024-06,Aeronautics,"Sunnyvale, CA",Electrical Engineering,TS/SCI,120
2024-06,Rotary & Mission Systems,"Huntsville, AL",Systems Engineering,Secret,61
2024-06,Aeronautics,Remote-Eligible,Supply Chain,Secret,59
2024-06,Corporate Shared Services,"Orlando, FL",Systems Engineering,Public Trust,78
2024-06,Missiles & Fire Control,"Orlando, FL",Electrical Engineering,TS/SCI,122
2024-06,Missiles & Fire Control,"Grand Prairie, TX",Mechanical Engineering,Secret,72
2024-06,Rotary & Mission Systems,"Denver, CO",Cybersecurity,Secret,81
2024-06,Rotary & Mission Systems,Remote-Eligible,Electrical Engineering,Secret,92
2024-06,Aeronautics,"Orlando, FL",Program / Project Management,Secret,83
2024-06,Corporate Shared Services,"Orlando, FL",Mechanical Engineering,Secret,71
2024-06,Corporate Shared Services,"Grand Prairie, TX",Program / Project Management,Secret,98
2024-06,Space,"Huntsville, AL",Business Development,Top Secret,127
2024-06,Space,"Fort Worth, TX",Cybersecurity,Secret,87
2024-06,Rotary & Mission Systems,"Sunnyvale, CA",Mechanical Engineering,Secret,94
2024-06,Rotary & Mission Systems,"Fort Worth, TX",Software Engineering,Public Trust,86
2024-06,Rotary & Mission Systems,"Orlando, FL",Manufacturing Operations,Secret,96
2024-06,Aeronautics,Remote-Eligible,Mechanical Engineering,Secret,89
2024-06,Aeronautics,"Fort Worth, TX",Cybersecurity,None,68
2024-06,Missiles & Fire Control,"Grand Prairie, TX",Software Engineering,None,67
2024-06,Rotary & Mission Systems,Remote-Eligible,Supply Chain,Secret,65
2024-06,Aeronautics,"Denver, CO",Cybersecurity,Secret,90
2024-06,Aeronautics,"Fort Worth, TX",Electrical Engineering,Secret,62
2024-06,Corporate Shared Services,"Sunnyvale, CA",Software Engineering,None,48
2024-06,Missiles & Fire Control,Remote-Eligible,Finance & Accounting,Public Trust,87
2024-06,Rotary & Mission Systems,"Sunnyvale, CA",Software Engineering,None,71
2024-06,Rotary & Mission Systems,"Denver, CO",Systems Engineering,Top Secret,125
2024-06,Space,"Denver, CO",Manufacturing Operations,Top Secret,101
2024-06,Space,"Bethesda, MD",Supply Chain,None,43
2024-06,Missiles & Fire Control,"Orlando, FL",Systems Engineering,Secret,77
2024-06,Corporate Shared Services,"Huntsville, AL",Data Science & Analytics,None,61
2024-06,Missiles & Fire Control,Remote-Eligible,Program / Project Management,Public Trust,70
2024-06,Corporate Shared Services,"Orlando, FL",Supply Chain,None,75
2024-06,Rotary & Mission Systems,"Huntsville, AL",Cybersecurity,Public Trust,63
2024-06,Aeronautics,"Huntsville, AL",Mechanical Engineering,Secret,85
2024-06,Space,"Bethesda, MD",Program / Project Management,Top Secret,91
2024-06,Aeronautics,"Grand Prairie, TX",Program / Project Management,None,66
2024-06,Space,"Sunnyvale, CA",Program / Project Management,Secret,81
2024-06,Aeronautics,"Huntsville, AL",Mechanical Engineering,Secret,70
2024-06,Missiles & Fire Control,"Orlando, FL",Software Engineering,TS/SCI,122
2024-06,Space,"Huntsville, AL",Supply Chain,Secret,78
2024-06,Corporate Shared Services,Remote-Eligible,Manufacturing Operations,Public Trust,65
2024-06,Rotary & Mission Systems,"Bethesda, MD",Manufacturing Operations,Secret,105
2024-06,Aeronautics,"Grand Prairie, TX",Software Engineering,Public Trust,67
2024-06,Missiles & Fire Control,"Denver, CO",Systems Engineering,TS/SCI,122
2024-06,Corporate Shared Services,"Fort Worth, TX",Program / Project Management,Secret,51
2024-06,Space,Remote-Eligible,Software Engineering,Secret,68
2024-06,Aeronautics,"Grand Prairie, TX",Finance & Accounting,None,56
2024-06,Missiles & Fire Control,"Fort Worth, TX",Cybersecurity,Secret,71
2024-06,Missiles & Fire Control,"Huntsville, AL",Program / Project Management,Top Secret,124
2024-06,Aeronautics,"Bethesda, MD",Supply Chain,Secret,78
2024-06,Corporate Shared Services,"Denver, CO",Cybersecurity,Secret,99
2024-06,Space,"Fort Worth, TX",Systems Engineering,TS/SCI,126
2024-06,Aeronautics,"Huntsville, AL",Electrical Engineering,Top Secret,105
2024-06,Space,"Bethesda, MD",Mechanical Engineering,Public Trust,67
2024-06,Rotary & Mission Systems,"Huntsville, AL",Cybersecurity,Secret,81
2024-06,Aeronautics,"Huntsville, AL",Electrical Engineering,Secret,105
2024-06,Rotary & Mission Systems,"Orlando, FL",HR / People Analytics,Secret,48
2024-06,Aeronautics,"Orlando, FL",Data Science & Analytics,Public Trust,40
2024-06,Missiles & Fire Control,Remote-Eligible,Systems Engineering,None,52
2024-06,Corporate Shared Services,"Denver, CO",Cybersecurity,Top Secret,105
2024-06,Space,"Sunnyvale, CA",Cybersecurity,Top Secret,114
2024-06,Aeronautics,"Grand Prairie, TX",Software Engineering,Top Secret,111
2024-06,Corporate Shared Services,"Bethesda, MD",Software Engineering,TS/SCI,120
2024-06,Rotary & Mission Systems,"Huntsville, AL",Electrical Engineering,Secret,95
2024-06,Corporate Shared Services,"Fort Worth, TX",Systems Engineering,Top Secret,119
2024-06,Space,"Denver, CO",Finance & Accounting,Top Secret,107
2024-06,Missiles & Fire Control,Remote-Eligible,Systems Engineering,Secret,94
2024-06,Rotary & Mission Systems,"Grand Prairie, TX",Software Engineering,Secret,84
2024-06,Rotary & Mission Systems,"Grand Prairie, TX",Program / Project Management,None,52
2024-06,Space,Remote-Eligible,Supply Chain,Secret,90
2024-06,Missiles & Fire Control,"Fort Worth, TX",Systems Engineering,Public Trust,70
2024-06,Missiles & Fire Control,"Sunnyvale, CA",Systems Engineering,Public Trust,69
2024-06,Missiles & Fire Control,"Sunnyvale, CA",Systems Engineering,Secret,101
2024-06,Missiles & Fire Control,"Huntsville, AL",Mechanical Engineering,Secret,46
2024-06,Aeronautics,"Orlando, FL",Data Science & Analytics,None,40
2024-06,Aeronautics,"Sunnyvale, CA",Systems Engineering,Top Secret,88
2024-06,Corporate Shared Services,"Orlando, FL",Software Engineering,Top Secret,99
2024-06,Aeronautics,"Huntsville, AL",Mechanical Engineering,None,56
2024-06,Corporate Shared Services,"Bethesda, MD",Finance & Accounting,None,38
2024-06,Aeronautics,"Sunnyvale, CA",Electrical Engineering,Public Trust,55
2024-06,Space,"Sunnyvale, CA",Mechanical Engineering,Top Secret,92
2024-06,Missiles & Fire Control,"Orlando, FL",Software Engineering,Top Secret,139
2024-06,Rotary & Mission Systems,Remote-Eligible,Systems Engineering,None,85
2024-07,Corporate Shared Services,Remote-Eligible,Software Engineering,None,81
2024-07,Missiles & Fire Control,"Sunnyvale, CA",Electrical Engineering,Top Secret,100
2024-07,Corporate Shared Services,Remote-Eligible,Mechanical Engineering,None,51
2024-07,Missiles & Fire Control,"Grand Prairie, TX",Systems Engineering,Secret,76
2024-07,Space,"Orlando, FL",Cybersecurity,Top Secret,112
2024-07,Rotary & Mission Systems,"Sunnyvale, CA",Program / Project Management,Secret,79
2024-07,Space,"Orlando, FL",Manufacturing Operations,Secret,75
2024-07,Space,"Fort Worth, TX",Mechanical Engineering,Secret,101
2024-07,Rotary & Mission Systems,Remote-Eligible,Cybersecurity,None,58
2024-07,Missiles & Fire Control,"Huntsville, AL",Systems Engineering,TS/SCI,158
2024-07,Rotary & Mission Systems,"Orlando, FL",Mechanical Engineering,Public Trust,70
2024-07,Corporate Shared Services,"Huntsville, AL",Systems Engineering,None,84
2024-07,Corporate Shared Services,"Fort Worth, TX",Mechanical Engineering,Public Trust,74
2024-07,Corporate Shared Services,"Grand Prairie, TX",Electrical Engineering,TS/SCI,139
2024-07,Aeronautics,"Bethesda, MD",Software Engineering,None,49
2024-07,Rotary & Mission Systems,"Grand Prairie, TX",Software Engineering,Top Secret,93
2024-07,Aeronautics,"Bethesda, MD",Systems Engineering,Secret,87
2024-07,Space,"Huntsville, AL",Supply Chain,Top Secret,118
2024-07,Corporate Shared Services,"Fort Worth, TX",Electrical Engineering,TS/SCI,126
2024-07,Aeronautics,"Fort Worth, TX",Software Engineering,Top Secret,86
2024-07,Space,Remote-Eligible,Supply Chain,TS/SCI,106
2024-07,Corporate Shared Services,"Denver, CO",Data Science & Analytics,None,40
2024-07,Corporate Shared Services,"Denver, CO",Mechanical Engineering,Top Secret,80
2024-07,Missiles & Fire Control,"Sunnyvale, CA",HR / People Analytics,Secret,82
2024-07,Aeronautics,"Sunnyvale, CA",Software Engineering,Secret,96
2024-07,Corporate Shared Services,"Bethesda, MD",Systems Engineering,Top Secret,104
2024-07,Corporate Shared Services,"Denver, CO",Mechanical Engineering,TS/SCI,94
2024-07,Rotary & Mission Systems,"Orlando, FL",Systems Engineering,Secret,78
2024-07,Corporate Shared Services,"Bethesda, MD",Electrical Engineering,Secret,78
2024-07,Aeronautics,"Bethesda, MD",Systems Engineering,Secret,110
2024-07,Space,"Fort Worth, TX",Software Engineering,Secret,60
2024-07,Aeronautics,"Sunnyvale, CA",Systems Engineering,Secret,75
2024-07,Corporate Shared Services,"Huntsville, AL",Data Science & Analytics,Secret,104
2024-07,Space,"Denver, CO",Software Engineering,None,66
2024-07,Corporate Shared Services,"Orlando, FL",Software Engineering,None,67
2024-07,Rotary & Mission Systems,"Fort Worth, TX",Manufacturing Operations,Top Secret,106
2024-07,Aeronautics,"Denver, CO",Systems Engineering,Secret,85
2024-07,Aeronautics,"Sunnyvale, CA",Cybersecurity,TS/SCI,136
2024-07,Missiles & Fire Control,Remote-Eligible,Software Engineering,Secret,69
2024-07,Space,"Denver, CO",Cybersecurity,None,72
2024-07,Aeronautics,Remote-Eligible,Systems Engineering,None,40
2024-07,Corporate Shared Services,"Orlando, FL",Electrical Engineering,None,64
2024-07,Missiles & Fire Control,"Sunnyvale, CA",Systems Engineering,TS/SCI,128
2024-07,Rotary & Mission Systems,"Orlando, FL",Supply Chain,None,51
2024-07,Missiles & Fire Control,"Denver, CO",HR / People Analytics,Secret,80
2024-07,Rotary & Mission Systems,"Orlando, FL",Software Engineering,TS/SCI,117
2024-07,Rotary & Mission Systems,"Sunnyvale, CA",Software Engineering,TS/SCI,110
2024-07,Aeronautics,"Grand Prairie, TX",Software Engineering,None,55
2024-07,Rotary & Mission Systems,"Orlando, FL",Electrical Engineering,None,44
2024-07,Space,"Fort Worth, TX",Software Engineering,None,64
2024-07,Corporate Shared Services,"Denver, CO",Manufacturing Operations,None,43
2024-07,Missiles & Fire Control,Remote-Eligible,Program / Project Management,None,69
2024-07,Corporate Shared Services,"Orlando, FL",Manufacturing Operations,Secret,64
2024-07,Corporate Shared Services,"Sunnyvale, CA",Mechanical Engineering,Top Secret,97
2024-07,Corporate Shared Services,"Orlando, FL",Business Development,Secret,72
2024-07,Missiles & Fire Control,"Huntsville, AL",Software Engineering,Secret,99
2024-07,Corporate Shared Services,"Sunnyvale, CA",Cybersecurity,None,64
2024-07,Rotary & Mission Systems,Remote-Eligible,Systems Engineering,Top Secret,102
2024-07,Aeronautics,"Orlando, FL",Finance & Accounting,Secret,87
2024-07,Missiles & Fire Control,"Fort Worth, TX",Mechanical Engineering,Top Secret,75
2024-07,Space,"Denver, CO",Manufacturing Operations,TS/SCI,125
2024-07,Aeronautics,"Bethesda, MD",Software Engineering,Public Trust,96
2024-07,Rotary & Mission Systems,Remote-Eligible,Finance & Accounting,None,61
2024-07,Space,"Huntsville, AL",Mechanical Engineering,None,60
